target_index,pixel_scale,FWHM,R_E,r_s_eff,N_pix_expected,A_expected,max_snr_expected,IC_joint_expected,N_pix,A,max_snr,IC_joint
0,0.1,0.4,0.5358756661874744,0.3407660347800776,0,0.0,0.8929621614135758,0.0,60,0.6000000000000001,3.299860979219952,5.897106938782602
1,0.1,0.4,0.8982205517962478,0.5583827977080916,0,0.0,0.5457705906062099,0.0,62,0.6200000000000001,3.4266065777041037,6.233366522924355
2,0.1,0.4,0.4780108147573395,0.2149634364435388,99,0.9900000000000002,3.826191330963588,13.759046492950397,151,1.5100000000000002,5.335358262492677,20.986020408439494
3,0.1,0.4,0.6261723860069851,0.2550942879428104,2,0.020000000000000004,2.030603674448028,0.30683379421032286,81,0.8100000000000002,3.892047351789202,12.426768665518075
4,0.1,0.4,1.492396410009919,0.1639090601940684,0,0.0,0.8604382903628873,0.0,51,0.5100000000000001,3.192200175762653,29.022273395224833
5,0.1,0.4,0.5585131030396717,0.1892800612512909,0,0.0,0.7477307827410542,0.0,43,0.4300000000000001,3.154871281550761,7.930069097063337
6,0.1,0.4,0.4772935494714498,0.4764395320958737,17,0.17000000000000004,2.2696343559779657,1.0644045301668354,102,1.0200000000000002,3.6556839350731076,6.386427181001014
7,0.1,0.4,0.9977843153115644,0.2503120749164372,0,0.0,1.0018386714749261,0.0,54,0.5400000000000001,3.368314264125791,13.453294513661497
8,0.1,0.4,2.1646400375600416,0.1513431448533612,0,0.0,0.23656221206535472,0.0,39,0.39000000000000007,3.169034924071222,34.86322486997943
9,0.1,0.4,0.5618436079509534,0.1863477399259994,52,0.5200000000000001,8.321758543252093,9.798840203619957,109,1.0900000000000003,9.376605553752645,20.539876580664913
10,0.1,0.4,0.5829337601182326,0.2417145857036557,109,1.0900000000000003,2.738735715998059,16.429443962782752,185,1.8500000000000003,4.530171554599339,27.884836083622098
11,0.1,0.4,0.5557277491619231,0.3193105043226941,217,2.1700000000000004,3.838446789252334,23.604164272628054,237,2.3700000000000006,5.626804195061874,25.77966328393018
12,0.1,0.4,0.339090495063948,0.5550073001359881,0,0.0,1.0427037956608405,0.0,51,0.5100000000000001,3.154924475766617,1.9474535789916707
13,0.1,0.4,0.3278888140743821,0.243029908654151,25,0.25000000000000006,3.493338557977848,2.1080791036312285,80,0.8000000000000002,4.928863218602176,6.745853131619931
14,0.1,0.4,0.3170823169224878,0.3861967637293787,10,0.10000000000000002,2.169852438208952,0.5131489092835172,81,0.8100000000000002,3.9515823664217082,4.156506165196489
15,0.1,0.4,1.0060326128998287,0.7645326784558656,1,0.010000000000000002,2.003908499583024,0.08224244702428245,54,0.5400000000000001,3.156361943650291,4.441092139311253
16,0.1,0.4,1.353648440847991,0.3597522786115553,0,0.0,1.6688115168988136,0.0,44,0.44000000000000006,3.155253342631402,10.347490297209216
17,0.1,0.4,1.8117186930731124,0.4065350717956764,58,0.5800000000000001,2.6431394294225807,16.154769214329516,166,1.6600000000000004,5.178854011694826,46.236063613425856
18,0.1,0.4,0.4184166653677132,0.2273479363044812,61,0.6100000000000001,2.9354775924615564,7.016617624265472,106,1.0600000000000003,4.533889203979846,12.19281095364164
19,0.1,0.4,1.4783560542137122,0.0922169061394906,4,0.04000000000000001,2.081540139341808,4.007822741248491,77,0.7700000000000001,4.236224530098742,77.15058776903345
20,0.1,0.4,0.6794785554586836,0.3286648160039709,0,0.0,1.844111314247603,0.0,100,1.0000000000000002,3.8761283111765055,12.921191331795805
21,0.1,0.4,1.5917667756492744,0.1486773305686607,0,0.0,0.8801773626051282,0.0,54,0.5400000000000001,3.202426254781686,36.13336913750519
22,0.1,0.4,1.0888140695379818,0.3912913782440966,24,0.24000000000000005,3.4176331963339095,4.173925609186645,91,0.9100000000000001,4.946907335370993,15.82613460149936
23,0.1,0.4,0.2976184990158525,0.488816470198372,0,0.0,1.8564583134587407,0.0,66,0.6600000000000001,3.4361351695760174,2.511528115945387
24,0.1,0.4,4.611676005463605,0.5295255471750713,0,0.0,0.09559945460130165,0.0,37,0.37000000000000005,3.1559760536459933,20.13972851645758
25,0.1,0.4,1.1058040902240818,0.4387560850701321,0,0.0,1.2363688964008033,0.0,40,0.4000000000000001,3.154871281550761,6.300790620643625
26,0.1,0.4,1.02908522609203,0.2428782648629165,0,0.0,0.9757076606483676,0.0,52,0.5200000000000001,3.4195554850449383,13.77038405098451
27,0.1,0.4,0.6993176945352396,0.3679833812957825,0,0.0,0.8194704343940631,0.0,55,0.5500000000000002,3.154873247427521,6.5326443995921775
28,0.1,0.4,0.5259388220954783,0.1102812685953609,88,0.8800000000000001,22.921441159199457,26.22987165788564,136,1.3600000000000003,24.34665226618158,40.537074380368715
29,0.1,0.4,0.6886034217150797,0.634350204939184,7,0.07,2.164370616786313,0.4749174740618708,98,0.9800000000000002,4.345257249989068,6.648844636866191
30,0.1,0.4,1.0948798275937752,0.3603607538982513,0,0.0,0.4782875967993305,0.0,54,0.5400000000000001,3.15487177453686,10.254222687003107
31,0.1,0.4,0.4939713025350964,0.3831213943423109,39,0.39000000000000007,2.945067559466492,3.1427507513545425,107,1.0700000000000003,4.106800710879983,8.622418728075285
32,0.1,0.4,0.6954305804179655,0.3585235577512696,0,0.0,1.357406006814956,0.0,54,0.5400000000000001,3.1548713167403113,6.546510426349585
33,0.1,0.4,1.1953835182536203,0.2432612050761911,3,0.030000000000000006,2.0618158054325613,0.9213734249254968,140,1.4000000000000004,4.667540819575177,42.99742649652318
34,0.1,0.4,0.7568313885040647,0.2277369751330643,0,0.0,0.9764920789962352,0.0,69,0.6900000000000002,3.208999208847403,14.331600571302728
35,0.1,0.4,0.5305365484954312,0.2951561768901945,75,0.7500000000000001,5.2756079962761016,8.425675170597968,115,1.1500000000000001,6.312423475734761,12.919368594916882
36,0.1,0.4,0.7884105251383368,0.230658,62,0.6200000000000001,4.248723960956408,13.245110878057794,121,1.2100000000000002,5.612023182528818,25.84932929427408
37,0.1,0.4,1.4405632427643802,0.3424130492729907,0,0.0,1.388450057126372,0.0,52,0.5200000000000001,3.1558295232662754,13.673049403124878
38,0.1,0.4,1.2731955186723634,0.4561250805949896,216,2.1600000000000006,9.317983235462028,37.68295196496528,300,3.0000000000000004,9.941484183488202,52.33743328467399
39,0.1,0.4,0.6497293723634407,0.2983537945111139,16,0.16000000000000003,2.8150276363705897,2.1777144595331697,85,0.8500000000000002,4.128275090193449,11.569108066269964
40,0.1,0.4,0.9597882272105732,0.3324343559033428,0,0.0,0.951125182271292,0.0,66,0.6600000000000001,3.6708010344901303,11.909498422584077
41,0.1,0.4,0.8397626458397912,0.1817633327676968,41,0.4100000000000001,3.7396372063489034,11.838976251138051,102,1.0200000000000002,4.532885556785928,29.453062868684906
42,0.1,0.4,1.099933939818442,0.3797560782300384,0,0.0,0.5990415774890113,0.0,67,0.6700000000000002,3.1970638905401585,12.128768009342155
43,0.1,0.4,0.5676835717695656,0.6287284461186003,0,0.0,1.3855217871250942,0.0,50,0.5000000000000001,3.1731202759793877,2.821585650739352
44,0.1,0.4,0.3610402922480091,0.5056124941971982,2,0.020000000000000004,2.012856659167856,0.08925815134900442,68,0.6800000000000002,3.6023083131784475,3.0347771458661503
45,0.1,0.4,0.6589289301459854,0.673994623746989,34,0.3400000000000001,2.671417667276356,2.0775002162121834,117,1.1700000000000002,4.766741501006021,7.149044861671337
46,0.1,0.4,1.0810150179742375,0.2238294721041865,37,0.37000000000000005,5.754851100488874,11.168534713345586,93,0.9300000000000002,7.2628795686485255,28.072262928138905
47,0.1,0.4,1.0629923101043908,0.1509011778191716,16,0.16000000000000003,2.6515518352167367,7.044294322064201,67,0.6700000000000002,4.043762791667223,29.49798247364384
48,0.1,0.4,1.1229750416862871,0.183681445330952,6,0.06000000000000001,2.4381569517908006,2.2926411531311914,67,0.6700000000000002,4.708216471575151,25.601159543298305
49,0.1,0.4,1.047094628992532,0.1810014430284259,10,0.10000000000000002,2.637619076745558,3.6156294235596502,52,0.5200000000000001,3.408919776739741,18.801273002510182
50,0.1,0.4,0.5911824421786775,0.338965684657611,0,0.0,1.0987504368160426,0.0,74,0.7400000000000001,3.419374082351203,8.06635868712851
51,0.1,0.4,0.842504834106618,0.6047723717603202,0,0.0,1.2647776455352362,0.0,46,0.4600000000000001,3.5273944376422084,4.005145590573505
