Pair_0,Pair_1,log_B_m,log_B
3_0,3_1,0.8553974423828591,3.3340923788034758
2_0,2_1,0.4690973115475256,3.0967254781731226
1_0,1_1,0.05696118201507539,3.0382110870572885
0_0,0_1,0.4907292336743776,2.197111090442756
5_0,5_1,0.5375042209872242,1.9710446873599876
7_0,7_1,0.3884583679074564,1.5841457583609688
8_0,8_1,-0.3040625690813667,1.55261811105797
6_0,6_1,0.3152675576190224,1.519245122343296
4_0,4_1,0.3837552536213482,1.399194211334803
4_1,5_0,0.31942341497530313,-0.5214684287181292
2_1,7_0,-0.39046598611584793,-0.5407214485226479
2_0,7_0,-0.252123076049321,-0.5659033314306361
4_0,5_0,0.05756827859218361,-0.9234657420923333
0_0,1_0,0.5631528590052978,-1.1932981264600078
0_0,1_1,0.24294057105042058,-1.4461015926396599
5_0,8_0,-0.7312165215745667,-1.4465890728137967
0_0,8_1,-0.4379689877056561,-1.577699076583154
1_1,3_1,-1.8047172245724064,-1.7160694310517282
1_1,3_0,-2.747576149360259,-2.4041301168286027
0_0,3_1,-1.8553651065554624,-2.9014441753184377
0_1,8_1,-0.8903246220614096,-2.957543596206194
4_1,5_1,0.3019845183336418,-3.157862582848948
1_0,3_1,-2.3550884277899153,-3.3256780291036354
0_0,3_0,-2.0263328718154967,-3.553308552703139
0_0,5_0,-2.8342458423425505,-3.6256752123155787
1_0,3_0,-2.8447450449771097,-3.836011572319782
5_0,8_1,-1.8825229717000609,-3.8448858988032137
3_1,7_0,0.4073387777479267,-4.55519270659315
6_0,7_0,-7.855644609459653,-4.652053622014738
0_0,8_0,-1.6192824788087703,-4.9084901186973715
6_1,7_0,-9.597322028994222,-5.296479529184658
0_0,7_0,-2.649111474096103,-6.0928271161771
3_0,7_0,-0.13659889472363113,-6.689627581090233
5_1,8_1,-2.8466866668900797,-6.874340632007997
0_0,4_1,-5.518071671800251,-6.9463344243766665
1_0,8_1,-0.6057915849935271,-7.880418559754521
0_0,5_1,-5.942160539588483,-8.104218222857712
0_0,2_1,-2.755659917040095,-8.86797251845465
2_1,7_1,-0.08784032164229133,-9.440500030895357
7_0,8_1,-11.078265961191098,-9.574554093823439
2_0,7_1,0.018761277522856595,-9.884960587024997
0_0,4_0,-5.568713901793101,-9.948195950814648
1_1,7_0,-3.1833217715979294,-10.054104680666898
1_1,8_1,-1.2210144670151557,-10.134930718194058
3_1,6_0,-6.004789027854887,-11.629597084248227
1_0,5_0,-2.8460926380848033,-11.982940485715487
3_1,7_1,-0.2547419603278704,-12.19605025965432
4_1,8_1,-2.8565887583167053,-12.929425883161283
0_0,7_1,-3.129725853282579,-12.99753193553673
1_0,7_0,-4.933998387920794,-13.81525324079331
4_1,8_0,-1.5823570388652632,-13.863416542126183
3_1,8_1,-3.5441087257787167,-14.801988032993986
4_0,5_1,0.007238654904554978,-15.060286331424571
7_1,8_1,-21.92154280836355,-15.211034546099027
1_1,7_1,-3.8804391279798094,-15.739525996784389
2_1,6_0,-30.853163033449558,-16.585092000746293
1_1,5_0,-3.8653505283032894,-18.056979883689525
7_0,8_0,-21.625012318838188,-19.238222093704604
0_0,6_0,-14.455304060512974,-19.94106524594893
0_1,7_0,-11.686541417765193,-20.142478031741742
7_1,8_0,-34.07464034285446,-21.187912546090544
1_0,4_1,-8.342616184469417,-22.120380687494993
6_0,7_1,-52.51138198620195,-23.566885409423147
1_0,4_0,-9.107712676232206,-23.730519213713638
2_0,6_0,-56.91460593957266,-26.465517109196206
1_1,4_1,-10.14002110358751,-29.526860242723192
2_1,8_1,-35.00448528368953,-29.89382991926541
1_0,7_1,-9.659424629107775,-30.357969217346902
2_0,8_1,-37.37582400710815,-30.466610929448745
0_0,2_0,-2.719322963274688,-30.872487262108336
3_0,7_1,-1.2019605711048955,-31.59813287178512
1_1,6_0,-77.14708008759615,-33.774475577581775
1_1,4_0,-11.058203074070745,-34.98524182280344
5_1,8_0,-1.5851348388975957,-37.75087158771947
0_0,6_1,-15.060729424167754,-38.500808820945316
5_0,7_0,-71.88986637899208,-38.767842752609106
4_0,8_1,-2.7484647338169865,-41.02825644109855
2_0,3_1,-1.3259817407873795,-44.24077186974348
6_0,8_1,-110.70642039777803,-46.09651613946692
2_1,3_1,-1.4104004865896007,-46.97027431496319
6_1,7_1,-64.77048131230549,-48.10381069667542
6_0,8_0,-110.86165135422445,-50.14281723190617
5_0,7_1,-91.9266457571584,-51.09528975922239
1_0,6_0,-126.67130223167447,-53.28992105629731
3_0,6_0,-122.49466819778033,-55.16410918624463
1_1,6_1,-82.04487450854533,-56.23939915485247
0_1,5_0,-3.1584401843366345,-56.98786179113747
3_1,5_0,-6.239817089314744,-59.90945347471069
2_1,5_0,-107.95457203734723,-62.407487215672866
2_0,5_0,-113.52255544715771,-64.38971788157795
3_0,5_0,-46.58474880543324,-65.68491226004716
4_0,8_0,-1.7665991032417279,-69.20997811103214
4_0,7_0,-155.83392225756856,-73.79245198166221
3_0,8_1,-4.738128711541401,-74.87015949749396
5_0,6_0,-178.28188083748708,-77.0472151996454
1_0,5_1,-18.634065970892234,-77.53874732209192
0_1,1_1,0.38591363664105505,-77.60893554376618
0_1,2_1,-54.64054890749704,-79.63930685163129
4_1,7_0,-165.40355010825888,-81.1343592689062
0_1,3_0,-4.225834669327948,-91.14466993913378
1_1,5_1,-23.994751128666884,-95.31575667765054
0_1,6_0,-216.84653336557187,-97.35198032359082
1_0,6_1,-130.2638314098174,-98.80109668246685
0_1,1_0,0.3584784960030611,-106.75289196342544
6_1,8_1,-112.96322545122881,-114.67241130800194
3_1,6_1,-7.105124945508154,-117.76672318631805
0_1,4_1,-7.80068114439295,-117.8951752122182
4_1,7_1,-193.14919006757862,-123.23938059057957
4_0,6_0,-292.9578149636506,-124.31009193350005
5_0,6_1,-180.16903503801495,-124.50586292960777
6_1,8_0,-112.64163581520451,-124.74838789752604
4_1,6_0,-309.3681673023873,-137.2995487385791
5_1,7_0,-inf,-148.74804885623126
0_1,3_1,-2.212913979010622,-152.39852441539387
4_0,7_1,-183.9202675915648,-174.91711050985992
3_1,4_1,-19.054098376405804,-189.16417010538905
5_1,7_1,-inf,-195.62244889204712
0_1,7_1,-30.089117736352314,-195.63866853
1_1,2_1,-6.208348292606072,-202.97875184420698
2_0,4_1,-220.4814473938292,-209.79779092219107
2_1,4_1,-219.53980421325912,-213.14147214069504
2_0,6_1,-74.03784700810017,-214.46855437978545
4_1,6_1,-315.0441243876978,-221.36832170960577
2_1,6_1,-43.398173829349034,-224.42261288289066
1_1,2_0,-6.761995971070057,-240.42313173491692
3_0,4_1,-124.35847117965385,-256.0502953667308
4_0,6_1,-304.5794628863344,-256.19554184103396
3_1,4_0,-20.13125769252562,-256.3966525618028
5_1,6_0,-inf,-281.1727657041204
2_0,3_0,-2.8668456285024106,-288.27534244803206
0_1,4_0,-8.44434908160645,-289.71554035094505
3_0,4_0,-119.3593326250268,-313.68924272387545
