Signal_0,Signal_1,logB (1d),logB (4d),logB (8d)
2_0,2_1,0.4731263882435777,3.1457985195389835,5.16674704697603
3_0,3_1,0.855281832289101,3.671920647881058,4.672841040008095
6_0,6_1,0.3133816540764392,2.7084576110099925,4.604548688325204
5_0,5_1,0.5257843916250274,2.512046952056344,4.432120523177447
1_0,1_1,0.06134848279360027,2.839987431319328,3.8240056258737773
7_0,7_1,0.3831585431511781,1.929130445444206,3.7112230173419656
0_0,0_1,0.4928059290777047,2.6449834905408407,3.305321279679091
9_0,9_1,0.4269201297991595,1.5654753594784787,3.252746951150906
4_0,4_1,0.38219942726114386,1.5377608921666939,2.556431521140891
8_0,8_1,-0.23614966156411696,1.952116208739109,2.1385694285950616
4_0,5_0,0.050368107975444845,-1.3837980892079838,0.35310823297098354
2_1,7_1,-0.09573439458241063,-2.979503585650395,-0.17390649663647292
4_1,5_0,0.29854213169698135,0.08035402752809595,-0.795680212986266
0_1,8_1,-0.9490140161995381,-3.2623134242071985,-1.9081960783995855
0_1,1_0,0.37472005844631384,-34.05074233399489,-2.201493752124314
0_0,8_1,-0.4617937886783693,-1.4195643267248872,-2.355727635480751
3_1,7_0,0.37376788893071433,-2.5608879429696843,-2.4842680879085997
0_0,1_0,0.5638817243804908,-3.001233433818136,-2.5052205642486123
2_0,7_0,-0.21724586627684106,-5.281915565802616,-2.7236155217878775
5_0,8_1,-2.063560172194601,-3.184013923302262,-3.0212927020987688
1_0,3_1,-2.281001201371174,-1.7317067931002,-3.0467063926182534
1_0,8_1,-0.6343297023060549,-4.104005755417324,-3.2783349598879217
3_1,7_1,-0.30796913262144754,-5.856978505172072,-3.35891855259533
2_0,7_1,0.034162502730295224,-4.983830940957928,-3.438234517197424
3_0,7_0,-0.16080431719588356,-3.21771693023555,-3.835567801985967
3_1,9_0,-102.94848125393632,-4.441912838827702,-3.8935290373313878
0_0,1_1,0.24002810023107857,-3.3356099491676447,-4.193121492302379
0_0,3_1,-1.913912906551998,-2.3073959124800743,-4.3050954188551716
1_1,8_1,-1.3402848094282478,-4.331095541944423,-4.3445964561864665
0_1,7_1,-9.358996035262997,-9.84461887377123,-4.370291492067151
0_1,7_0,-6.365398437734578,-10.534334917283747,-4.48203803598773
0_0,7_0,-2.3178315247612087,-4.305861146624997,-4.775692264100593
0_0,9_1,-215.84822116141777,-296.89367362018567,-4.823624828151185
5_1,8_0,-1.41081625320326,-3.3979594894524974,-4.873444579091948
3_1,5_0,-3.678384329404555,-6.148630496453378,-4.965926419068934
3_0,7_1,-1.2115526673619577,-5.2538591297893955,-5.017569150691008
4_1,8_0,-1.7027143617389306,-9.111076508686578,-5.027481896308426
6_0,7_1,-7.131073175190361,-5.968998620502191,-5.028577161944553
1_1,3_1,-1.7696305920345325,-1.602868146834433,-5.057233322681199
5_0,8_0,-0.7311878634354707,-0.19504123423569292,-5.273214508187339
7_1,8_1,-4.804689664598112,-3.061606349859813,-5.336479885549283
2_1,3_0,-2.903671704470225,-19.4700694137337,-5.339094438201319
2_1,7_0,-0.39940210671217763,-4.60690133410835,-5.379031231610488
0_1,3_1,-2.19734648504565,-2.2160934358155857,-5.411946573572543
5_0,7_1,-12.997865469062065,-12.318192140774803,-5.433785748408652
0_0,5_0,-2.446455282786261,-6.056455650737352,-5.567074174145877
5_1,8_1,-2.497428562581654,-4.776639910149971,-5.604495740913238
2_0,8_1,-4.6553740794448615,-8.982625598063255,-5.799922547817483
6_0,9_1,-5.447521432231841,-10.759726613762176,-5.816101085655209
0_0,7_1,-6.983685936950819,-9.942945416001804,-5.9391962607158275
7_1,9_0,-5.256725326171006,-13.110951066382526,-5.945103333048364
3_0,8_1,-3.837530725956638,-12.970766976525686,-6.081753826943941
6_0,8_1,-8.606851732932526,-5.954004607653362,-6.1756817332936835
7_1,9_1,-20.429285817555122,-8.530250833191902,-6.295762820744004
1_0,8_0,-1.709767125315814,-7.9367147017194615,-6.327699307399675
0_0,4_1,-4.1786203460157925,-10.205921835201092,-6.38104832240631
2_0,3_1,-1.726721282501789,-3.581390767968992,-6.47897657496751
2_1,5_0,-4.743635492338835,-20.312432357191714,-6.521223149149245
4_1,8_1,-2.288753531074618,-7.880356702746528,-6.561842836661507
0_0,8_0,-1.684157836902466,-5.157333887594879,-6.594931282538982
1_0,5_0,-2.5217459202529344,-6.9778737970382725,-6.72876120774269
0_1,2_1,-6.799325391565452,-7.2024454508022036,-6.730490101055898
0_1,1_1,0.37727937484844487,-7.196826657304421,-6.770743435517423
2_1,9_0,-13.287690801340908,-5.089098457905209,-6.868866954901727
2_0,3_0,-3.2918412928345795,-8.882573148251163,-7.183073772760355
5_0,7_0,-11.030926820768485,-9.688163503986468,-7.26372217554245
1_1,7_0,-3.4555530921358324,-6.033867145052047,-7.299472515883897
0_0,3_0,-2.4416897611856894,-7.530360502460571,-7.473044484607165
0_0,9_0,-7.175394801250496,-5.741659445805784,-7.6795577577029475
2_0,6_1,-8.1314156665205,-16.28628056780351,-7.81890107077914
1_0,7_0,-3.698784290264439,-4.6641143863177,-7.85025478420679
0_1,2_0,-7.794726330011461,-21.681569909899956,-7.931261384020476
2_0,8_0,-5.703975192501064,-10.64160368202278,-7.962197084117941
5_0,9_1,-297.6257524661264,-296.51727133422355,-7.966361342469965
3_1,8_0,-3.2843779830634836,-12.285984454723094,-7.994745014175431
3_1,8_1,-3.862129762098477,-10.598614758745928,-8.072986311036882
3_1,4_1,-5.988400854874583,-10.333304629520784,-8.131128514575988
8_1,9_1,-233.90113626522987,-296.8241142670679,-8.264668883127516
1_1,6_0,-298.05432467018517,-14.577781786559878,-8.341394416908496
5_1,7_0,-6.426474855934859,-5.211137543118595,-8.447715084874542
1_1,4_1,-8.285309153356714,-7.946340049399676,-8.461589747961305
6_1,7_0,-4.716646655675103,-10.181979872241874,-8.65523441327928
4_0,7_1,-69.10835912223737,-7.001638751998026,-8.704860567090297
1_1,2_1,-5.2495738289942775,-7.573398914742905,-8.726907915673479
2_1,8_0,-3.7866179005370006,-9.412748490946289,-8.772791785148051
0_0,5_1,-3.3207354978038786,-6.074014289039582,-8.817323485295196
6_1,7_1,-7.5618515005828355,-3.97959832296268,-8.85219522298028
1_0,7_1,-6.377731271543051,-6.435360989032779,-8.860404827651037
1_0,2_1,-7.018045980716965,-8.118137656879878,-8.958861627721035
2_0,9_0,-10.246511305308735,-7.701656953295003,-8.981757233059573
0_1,5_0,-3.2884684321835023,-12.509081290356125,-9.183686561920647
2_1,5_1,-16.27263167293864,-42.40236638597002,-9.363685299058949
1_1,2_0,-8.025278917252251,-10.54026149143023,-9.389460343802304
6_0,9_0,-7.515317530938685,-6.574440334758809,-9.451233196532367
1_1,5_1,-3.429580295699237,-10.876541388802135,-9.478775729654208
2_1,3_1,-1.4735427538032404,-2.9029424452282493,-9.554312417172861
0_0,4_0,-4.232285350870166,-7.766142510393263,-9.631498844983033
1_1,5_0,-4.208691572621954,-8.723733598784678,-9.732217482092109
1_1,3_0,-3.422264507483279,-3.977345901007017,-9.799170445882806
5_1,7_1,-68.70189548046929,-23.414902354088493,-9.95789771226478
2_0,5_0,-4.103024294809398,-13.427675766930557,-10.017924793097833
3_0,9_1,-10.505376585215517,-34.87838863352808,-10.079924411618759
1_0,6_0,-8.14962462702908,-101.58771236402201,-10.365211020251373
1_1,8_0,-2.0156055518675244,-10.00086052780088,-10.429750508224515
8_0,9_0,-7.975264962943481,-13.974240564967747,-10.481151542207607
0_1,9_0,-298.0220508958321,-18.071186792207975,-10.491030641707423
6_1,9_0,-6.173723759671952,-5.956237232764367,-10.576277617553655
2_0,6_0,-8.265436434449486,-6.089367202906139,-10.66101738729819
4_0,8_0,-1.810373055976781,-11.479770532046611,-10.790852564776026
3_0,4_1,-7.562592280596644,-24.48378922305255,-10.896392826115989
3_1,6_0,-72.77391760709956,-12.580099250835202,-11.1048105734711
2_0,9_1,-15.766133738558612,-6.8516673073660295,-11.122528981288099
5_1,6_0,-297.6568767119433,-17.142443209287066,-11.1392911581751
8_1,9_0,-7.353873113319379,-12.13280459712275,-11.237562940112262
1_1,6_1,-6.5374314006223395,-22.12192978825824,-11.249682101165757
1_0,9_1,-199.40145277469554,-296.9978819684937,-11.435232419806491
7_1,8_0,-5.112357511112761,-14.245644535793108,-11.677110509124788
2_1,9_1,-15.63635367952541,-22.044440776009985,-11.74069924642979
0_1,4_1,-3.39997411407462,-13.98276857857965,-11.894863173326366
1_0,3_0,-3.4940095914084335,-6.733650039251656,-12.072937071944027
7_0,9_1,-12.308301714678718,-217.7251627004426,-12.349415286332281
1_1,7_1,-6.130764940972445,-16.291293557126888,-12.441186575242273
6_0,7_0,-4.310188209002471,-9.358509927754888,-12.820219404356646
2_1,6_1,-12.608318850858039,-20.479621401726835,-12.89224942441478
3_0,8_0,-3.5806443413109186,-14.76690053944661,-13.047589784394257
4_0,9_0,-168.19217693098577,-14.066831596055245,-13.05597717681266
1_0,4_1,-3.7613962109536563,-7.917501291613627,-13.087854233452305
1_0,6_1,-298.0405788010238,-53.3469260517326,-13.216245116894264
3_0,5_0,-3.356146187917021,-8.80217047718353,-13.27662205012502
2_1,8_1,-5.599008934789903,-10.859476218771306,-13.428469101830938
4_1,7_1,-146.91172532605268,-9.49169772336011,-13.605652216563811
4_0,8_1,-2.828765522892672,-11.541521643392828,-13.855916685605704
1_1,9_0,-24.42670704784122,-7.747117427889045,-14.024872116660985
1_1,4_0,-5.169168707324857,-9.857459770702075,-14.216883344405183
5_0,9_0,-297.6269166334561,-9.028345043213179,-14.326678960680601
2_1,6_0,-14.827149886132378,-13.049411547728267,-14.944635299984634
3_0,6_1,-5.75896384160871,-40.960808268154565,-14.978860004898888
0_0,6_0,-6.88083981812325,-6.611467534953642,-15.076521249610208
3_0,4_0,-4.909739681583573,-16.341694315082155,-15.216026092899572
5_1,6_1,-5.158800855955173,-66.42268593769913,-15.274669292356704
3_0,9_0,-17.543068324827964,-8.937211813646078,-15.277395629047108
4_1,6_0,-297.5977161676115,-29.819831133492933,-15.394386412214882
