Pair_0,Pair_1,Joint_SNR
0_0,0_1,13.224198521264869
0_0,1_0,14.528523525383854
0_0,1_1,14.262819767766185
0_0,2_0,14.642211641362668
0_0,2_1,14.805977995692881
0_0,3_0,12.942618240863268
0_0,3_1,11.574339649597015
0_0,4_0,13.511281748546143
0_0,4_1,12.487291230509648
0_0,5_0,13.25601227852918
0_0,5_1,19.221024173082636
0_0,6_0,18.598845163825093
0_0,6_1,18.82658658186739
0_0,7_0,12.63204637900206
0_0,7_1,11.370022804027816
0_0,8_0,12.072706924945733
0_0,8_1,11.842067142274997
0_1,1_0,16.375239217954814
0_1,1_1,16.139965655025264
0_1,2_0,16.47618964955398
0_1,2_1,16.621896643480707
0_1,3_0,14.986054535678827
0_1,3_1,13.821570169190144
0_1,4_0,15.47983197926287
0_1,4_1,14.594619073246703
0_1,5_0,15.25753338997263
0_1,5_1,20.652317881531854
0_1,6_0,20.07454868846504
0_1,6_1,20.285729613256766
0_1,7_0,14.71866363970834
0_1,7_1,13.650929718584221
0_1,8_0,14.24151382800459
0_1,8_1,14.046530454876123
1_0,1_1,17.22489653505075
1_0,2_0,17.540336218723912
1_0,2_1,17.67727403544911
1_0,3_0,16.148696537000998
1_0,3_1,15.074295049509114
1_0,4_0,16.60794290103436
1_0,4_1,15.786116532921724
1_0,5_0,16.400941876731892
1_0,5_1,21.510853148530593
1_0,6_0,20.95676679126247
1_0,6_1,21.15914448270465
1_0,7_0,15.900868801316504
1_0,7_1,14.917990866049424
1_0,8_0,15.460248555927363
1_0,8_1,15.280824163557757
1_1,2_0,17.3208956629277
1_1,2_1,17.459554668562223
1_1,3_0,15.910073279036078
1_1,3_1,14.8183805842543
1_1,4_0,16.376012924523703
1_1,4_1,15.541927393059536
1_1,5_0,16.16604238346812
1_1,5_1,21.33229558856239
1_1,6_0,20.773447143974717
1_1,6_1,20.977593454448495
1_1,7_0,15.658469290988513
1_1,7_1,14.659347986171957
1_1,8_0,15.210828948851008
1_1,8_1,15.02842703072149
2_0,2_1,17.770829559904836
2_0,3_0,16.251054297090157
2_0,3_1,15.183897298206391
2_0,4_0,16.707487343309342
2_0,4_1,15.890809957765178
2_0,5_0,16.50173507140271
2_0,5_1,21.587801395706624
2_0,6_0,21.03574197089767
2_0,6_1,21.237367095824165
2_0,7_0,16.004811606498368
2_0,7_1,15.02873306045318
2_0,8_0,15.567133690370827
2_0,8_1,15.388955553915766
2_1,3_0,16.398761795497176
2_1,3_1,15.341882538364212
2_1,4_0,16.85119449728497
2_1,4_1,16.041834800679574
2_1,5_0,16.64721847712847
2_1,5_1,21.699211777365516
2_1,6_0,21.15006058914894
2_1,6_1,21.350606169879118
2_1,7_0,16.15477072625886
2_1,7_1,15.188332366025037
2_1,8_0,15.721268205598548
2_1,8_1,15.544856888980362
3_0,3_1,13.552407252615659
3_0,4_0,15.239984859084082
3_0,4_1,14.339973720062359
3_0,5_0,15.01413552439941
3_0,5_1,20.473157408634926
3_0,6_0,19.890184650838616
3_0,6_1,20.103302374014703
3_0,7_0,14.466201980401594
3_0,7_1,13.378334073442348
3_0,8_0,13.980438351931193
3_0,8_1,13.78176179661603
3_1,4_0,14.096492822706612
3_1,4_1,13.11826275417542
3_1,5_0,13.852012017773422
3_1,5_1,19.6368058928699
3_1,6_0,19.028226844347923
3_1,6_1,19.250889271318666
3_1,7_0,13.256129568365044
3_1,7_1,12.059593441577352
3_1,8_0,12.724253530469108
3_1,8_1,12.505635914025804
4_0,4_1,14.855241965446023
4_0,5_0,15.507018833576682
4_0,5_1,20.837311291013833
4_0,6_0,20.26481712240023
4_0,6_1,20.474035603684356
4_0,7_0,14.977128139187585
4_0,7_1,13.929220729836182
4_0,8_0,14.508481108373065
4_0,8_1,14.317133993175261
4_1,5_0,14.623451743410955
4_1,5_1,20.18839393378234
4_1,6_0,19.596951823977438
4_1,6_1,19.81322390949796
4_1,7_0,14.06030138669195
4_1,7_1,12.938349891986421
4_1,8_0,13.560004862056102
4_1,8_1,13.355075198796209
5_0,5_1,20.67270347290196
5_0,6_0,20.09552039744793
5_0,6_1,20.306483224351158
5_0,7_0,14.747253789691314
5_0,7_1,13.681751246840381
5_0,8_0,14.27105991550517
5_0,8_1,14.076485812107185
5_1,6_0,24.444955487338415
5_1,6_1,24.61867522176134
5_1,7_0,20.27824950707717
5_1,7_1,19.517075239751705
5_1,8_0,19.93461963132603
5_1,8_1,19.795791511130986
6_0,6_1,24.13604028916671
6_0,7_0,19.6895067037493
6_0,7_1,18.904642209781226
6_0,8_0,19.335416494385687
6_0,8_1,19.19225449804891
6_1,7_0,19.904773174633206
6_1,7_1,19.12874324090454
6_1,8_0,19.55458135343151
6_1,8_1,19.413035662010405
7_0,7_1,13.078113448550635
7_0,8_0,13.693424893162451
7_0,8_1,13.490522117812844
7_1,8_0,12.538688454042335
7_1,8_1,12.316777575894234
8_0,8_1,12.968262944032679
